Index,Product_M2M,PartNum_Comp,PartNumber_BOM_BOM,Match,Component,Component_Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark,MCCB or MCSW,Input CB,AMP Trip,kAIC @ Voltage,"Rated, Trip",kVA,MFR,drop,date_greater_than,change_component_to,change_status_to,change_life_years_to,change_eosl_to
2,,MOD68416-WH00:Color Display,MOD68416-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD68484-BK00:Color Display,MOD68484-BK00,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD68484-WH00:Color Display,MOD68484-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD68604-BK00:Color Display,MOD68604-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PCA16209:Color Display,PCA16209,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD68604-WH00:Color Display,MOD68604-WH00,contains,Color Display,PCA16209 / PCB11555 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PowerPakFreestandingRPP:Color Display,PowerPakFreestandingRPP,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PP2-10424003-R0001:Color Display,PP2-10424003-R0001,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,RPP19342:Color Display,RPP19342,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD68836-WH00:Color Display,MOD68836-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69053-WH00:Color Display,MOD69053-WH00,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69093-WH00:Color Display,MOD69093-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69210-WH00:Color Display,MOD69210-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69565-BK00:Color Display,MOD69565-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD17692-WH00:Color Display,MOD17692-WH00,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69821-BK00:Color Display,MOD69821-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69821-WH00:Color Display,MOD69821-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD69988:Color Display,MOD69988,contains,Color Display,PCA16209/ PCB11555 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD70461-BK00:Color Display,MOD70461-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD70559:Color Display,MOD70559,contains,Color Display,PCB11555,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD71318-WH00:Color Display,MOD71318-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD71689:Color Display,MOD71689,contains,Color Display,PCA16209 / PCB11555 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD72958:Color Display,MOD72958,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD72959:Color Display,MOD72959,contains,Color Display,PCB11555 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD73181-BK00:Color Display,MOD73181-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD73539-BK00:Color Display,MOD73539-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD73539-WH00:Color Display,MOD73539-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74364:Color Display,MOD74364,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74439:Color Display,MOD74439,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74483:Color Display,MOD74483,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74516-BK00:Color Display,MOD74516-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74764:Color Display,MOD74764,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74769:Color Display,MOD74769,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74879:Color Display,MOD74879,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74931-BK00:Color Display,MOD74931-BK00,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74931-WH00:Color Display,MOD74931-WH00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74998-BK00:Color Display,MOD74998-BK00,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD74998-WH00:Color Display,MOD74998-WH00,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75172:Color Display,MOD75172,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75244:Color Display,MOD75244,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75306:Color Display,MOD75306,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75307:Color Display,MOD75307,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75455:Color Display,MOD75455,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75561:Color Display,MOD75561,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75698:Color Display,MOD75698,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75702:Color Display,MOD75702,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75708:Color Display,MOD75708,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75720:Color Display,MOD75720,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75722:Color Display,MOD75722,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75746:Color Display,MOD75746,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75750:Color Display,MOD75750,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75758:Color Display,MOD75758,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75764:Color Display,MOD75764,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75766:Color Display,MOD75766,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75847-BK00:Color Display,MOD75847-BK00,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75847-WH00:Color Display,MOD75847-WH00,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75861:Color Display,MOD75861,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75864:Color Display,MOD75864,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75879:Color Display,MOD75879,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75880:Color Display,MOD75880,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD75987:Color Display,MOD75987,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76008:Color Display,MOD76008,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76075:Color Display,MOD76075,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76134:Color Display,MOD76134,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76254-BK00:Color Display,MOD76254-BK00,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76260:Color Display,MOD76260,contains,Color Display,PCA16209 / PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76311:Color Display,MOD76311,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76318:Color Display,MOD76318,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76346:Color Display,MOD76346,contains,Color Display,PCB15632,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,MOD76347:Color Display,MOD76347,contains,Color Display,PCA16209,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PCA32109:Color Display,PCA32109,contains,Color Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PCB19736:Color Display,PCB19736,contains,Infinity Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PBA74470:Color Display,PBA74470,contains,Infinity Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,PCB07301:LED Display,PCB07301,contains,LED Display,,,Active,10,,TRUE,,,,,,,,,,,,,,
2,,SA-PCB-PT-M2/3:M2 Display,SA-PCB-PT-M2/3,contains,M2 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,SA-PCB-M2:M2 Display,SA-PCB-M2,contains,M2 Display,,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
2,,MOD04457:M4 Display,MOD04457,contains,M4 Display,PCB04932/ PCB57701,,Obsoleted,,2022,TRUE,,,,,,,,,,,,,,
