Part_Number,Product,Description,Type
MODB0202                 ,OTHER,"SR, DG HARNESS     ",OTHER
PCA16209                 ,OTHER,"WAVESTR TOUCH SCRN,",OTHER
PCA16209                 ,OTHER,WAVESTAR MINI-7 GUI,OTHER
PCB08028                 ,OTHER,"DC GATE DRIVER,MOD0",OTHER
PCB08383                 ,OTHER,WAVESTR TRI REDUNDA,OTHER
PCB08504                 ,OTHER,"BCMS CT BOARD,HOT F",OTHER
PCB08553                 ,OTHER,"DCPS-OUT,TOP,PCB   ",OTHER
PCB08555                 ,OTHER,"DCPS-S1/S2,TOP,PCB,",OTHER
PCB08555                 ,OTHER,"DCPS-S1/S2,TOP,PCB ",OTHER
PCB08728                 ,OTHER,"CT 60/100A PCB,GE, ",OTHER
PCB08728                 ,OTHER,"BCMS, CT 60-100 AMP",OTHER
PCB08961                 ,OTHER,"WAVESTR CONTRACTOR,",OTHER
PCB09815                 ,OTHER,"BREAKER CT PCB,PCB1",OTHER
PCB10897                 ,OTHER,"PCB, BCMS PLUS     ",OTHER
PCB11555                 ,OTHER,"DATA MOD,WAVESTAR  ",OTHER
PCB11639                 ,OTHER,DUAL PULSE GATE DRI,OTHER
PCB11734                 ,OTHER,"BCMS PLUS LV/HV,PCB",OTHER
PCB11734                 ,OTHER,BCMS PLUS LV AND HV,OTHER
PCB13074                 ,OTHER,"SMAC BREAKER I/O,PC",OTHER
PCB13241                 ,OTHER,DCPS 480V OUTP - 40,OTHER
PCB15632                 ,OTHER,pcb11555-hvDATA HVP,OTHER
PCB15632                 ,OTHER,pcb11556-hvDATA HVP,OTHER
PCB15632                 ,OTHER,"DATA HVP,WAVESTAR  ",OTHER
PCB17492                 ,OTHER,"BCMS-SQD,42 CT, 100",OTHER
PCB17493                 ,OTHER,"BCMS-SQD,42 CT,100 ",OTHER
PCB17734                 ,OTHER,"BCMS,42 CIRCUIT,100",OTHER
PCB32109                 ,OTHER,"PCA,BREAKER I/O, GP",OTHER
PCB56557                 ,OTHER,SPLIT CORE SUBFEED ,OTHER
PCB65509                 ,OTHER,"V2 SNUBBER,SLOTTED,",OTHER
PNL17075                 ,OTHER,"FACEPLATE, 150A, ST",OTHER
PNL68329                 ,OTHER,"COMP,MOUNT,4 SQD J-",OTHER
PNL69162-WH00            ,OTHER,"PNL, SIDE COVER TOP",OTHER
PNL69167-WH00            ,OTHER,"PNL,SIDE COVER BOTT",OTHER
PNL69281-WH00            ,OTHER,"PNL, REAR COVER TOP",OTHER
PNL69282-WH00            ,OTHER,"PNL,REAR COVER BOTT",OTHER
PNL69958                 ,OTHER,"SIDE PANEL, 14"" EXT",OTHER
PNL69990                 ,OTHER,"SIDE PANEL, 14"" EXT",OTHER
PNL72207                 ,OTHER,"PNL,COND,BLNK,TOP  ",OTHER
Predict Pulse Insight - 1,OTHER,XXXXNIXX-1100,OTHER
PWS00012                 ,Spare Parts,STATIC RAM REPLACES,OTHER
PWS19989                 ,OTHER,"AC/DC SWTING,24V   ",OTHER
PWS19989                 ,OTHER,24VDC AC/DC SWITCHI,OTHER
PWS19989                 ,OTHER,"AC/DC SWTING,24V,OU",OTHER
PWS20260                 ,OTHER,"24VDC AC/DC PS, 550",OTHER
RIV17054                 ,OTHER,"RIVET, NY, 0.250 DI",OTHER
RLY20300                 ,OTHER,"24VDC,10A,SPDT     ",OTHER
ROD17345                 ,OTHER,"ROD, CAM ACTUATOR, ",OTHER
RPP                      ,RPP - other,RPP-01-0-441-D2,OTHER
SA-PCB0049 COMPLETE      ,Spare Parts,COMPLETE DCM PROCES,OTHER
Seismic Bracing Brackets ,OTHER,Floor mounting brac,OTHER
Seismic Bracing Brackets ,OTHER,BKT16125-12 no     ,OTHER
Seismic Bracing Brackets ,SBR FRONT - other,Floor mounting brac,OTHER
SERVICE START-UP         ,OTHER,Start-up for (12) P,OTHER
SERVICE START-UP         ,OTHER,SERVICE START-UP   ,OTHER
SERVICE START-UP         ,OTHER,SERVICE START-UP fo,OTHER
SERVICE START-UP         ,OTHER,SERVICE START-UP of,OTHER
SERVICE START-UP         ,OTHER,SERVICE START-UP  f,OTHER
SERVICE START-UP         ,OTHER,SERVICE START-UP  6,OTHER
SERVICE START-UP         ,OTHER,Start-up for (12) T,OTHER
SERVICE START-UP         ,OTHER,Qty (24) STS Startu,OTHER
SERVICE START-UP         ,OTHER,SERVICE START-UP  o,OTHER
Service Training         ,OTHER,Commissioning surpp,OTHER
Service Training         ,OTHER,Service Training   ,OTHER
SPARE PARTS              ,OTHER,GE Solid Core CT St,OTHER
SPARE PARTS              ,OTHER,(34)  BCB12554     ,OTHER
SPARE PARTS              ,OTHER,labels       ,OTHER
SPARE PARTS              ,OTHER,(1) PNL18409-WH (1,OTHER
SPARE PARTS              ,Spare Parts,(30)   BCB06441    ,OTHER
SPARE PARTS              ,Spare Parts,Qty. 8 - BKT11979 ,OTHER
SPARE PARTS              ,Spare Parts,Floorstand for ASB0,OTHER
SPARE PARTS              ,Spare Parts,BCB06442           ,OTHER
SPARE PARTS              ,Spare Parts,BCB06441 - Circuit ,OTHER
SPARE PARTS              ,Spare Parts,(2) QOB120     ,OTHER
SPARE PARTS              ,Spare Parts,"Qty (1)	  BKT07546	",OTHER
SPARE PARTS              ,Spare Parts,(18)  LUG16238    7,OTHER
SPARE PARTS              ,Spare Parts,(10) BCB06443  (1,OTHER
SPARE PARTS              ,Spare Parts,BCB06442        ,OTHER
SPARE PARTS              ,Spare Parts,PCB08706           ,OTHER
SPARE PARTS              ,Upgrade,CKB15430 BUS18613,OTHER
SPARE PARTS Service      ,OTHER,RPP door assembly (,OTHER
SPARE PARTS Service      ,Spare Parts,(20)  BCB06585 (10,OTHER
SPARE PARTS Service      ,Spare Parts,(20) BCB06440,OTHER
SPARE PARTS Service      ,Spare Parts,Breakers  (20) BC,OTHER
SPARE PARTS Service      ,Spare Parts,Wavestar PDU spare ,OTHER
Spill Containment        ,OTHER,Catalog # SCS-EFC52,OTHER
Start UP                 ,OTHER,Catalog # UPS A,OTHER
START-UP                 ,OTHER,START UP           ,OTHER
SWT00006                 ,OTHER,"ENCLOSURE,GUARD,16m",OTHER
TIME                     ,Labor,Labor and Travel   ,OTHER
TIME                     ,Labor,start up & commissi,OTHER
TIME                     ,Labor,Commissioning Suppo,OTHER
TIME                     ,OTHER,(4) Days Commission,OTHER
TIME                     ,OTHER,Commissioning,OTHER
TIME                     ,OTHER,Start Up of 4 RPPs ,OTHER
TIME                     ,OTHER,Commisioing   10 Da,OTHER
TIME                     ,OTHER,Commissioning      ,OTHER
TIME                     ,OTHER,4-Day SITE TESTING/,OTHER
TIME                     ,OTHER,Labor and Travel   ,OTHER
TIME                     ,OTHER,3 days for commissi,OTHER
TIME                     ,OTHER,1 day of testing an,OTHER
TIME                     ,OTHER,(3) Days test for 1,OTHER
TIME                     ,OTHER,(6) days test/comm ,OTHER
TIME                     ,OTHER,Onsite Cx Tech Supp,OTHER
TIME                     ,OTHER,Labor and Travel to,OTHER
TIME                     ,OTHER,(3) Days IST for 16,OTHER
TIME                     ,OTHER,Labor and Travel fo,OTHER
TIME                     ,OTHER,Integrated systems ,OTHER
TIME                     ,OTHER,two days of commisi,OTHER
TIME                     ,OTHER,Training for 108 bu,OTHER
TIME                     ,OTHER,2 Days for Integrat,OTHER
TIME                     ,OTHER,Commisioning,OTHER
TIME                     ,OTHER,Site Testing/commis,OTHER
TIME                     ,OTHER,Insall JCOMM mounte,OTHER
TIME                     ,OTHER,Site Support Servic,OTHER
TIME                     ,OTHER,1-Day Site Testing/,OTHER
TIME                     ,OTHER,Commissioning of 1 ,OTHER
TIME                     ,OTHER,(10) Days for commi,OTHER
TIME                     ,OTHER,Commisioning       ,OTHER
TIME                     ,OTHER,(4) days for testin,OTHER
TIME                     ,OTHER,Site Testing / Comm,OTHER
TIME                     ,OTHER,Integrated Site Tes,OTHER
TIME                     ,OTHER,Site Testing & Comm,OTHER
TIME                     ,OTHER,(3) Days comm for 1,OTHER
TIME                     ,OTHER,On site testing/com,OTHER
TIME                     ,OTHER,2 days for commissi,OTHER
TIME                     ,OTHER,Traning            ,OTHER
TIME                     ,OTHER,commissioning suppo,OTHER
TIME                     ,OTHER,PowerPak2 PDU On-Si,OTHER
TIME                     ,OTHER,(3) Days of Commiss,OTHER
TIME                     ,OTHER,Testing and Commisi,OTHER
Time                     ,OTHER,3 Days for integrat,OTHER
TSP20001                 ,OTHER,TBLK MOD.DNRL BLK  ,OTHER
TSP56520                 ,OTHER,"DinRail,30A,600VAC,",OTHER
TSP56527                 ,OTHER,"DinRail,end-stop,sc",OTHER
TSP71405                 ,OTHER,"TB JUMPER, 5POS, PH",OTHER
TVS66479                 ,OTHER,"TVSS 208, 4W+G, 200",OTHER
TVS66479                 ,Spare Parts,"TVSS 208, 4W+G, 200",OTHER
TVS66484                 ,OTHER,"TVSS 480, 4W+G, 200",OTHER
TVS66484                 ,Spare Parts,"TVSS 480, 4W+G, 200",OTHER
UPGRADE                  ,Spare Parts,Upgrade from Qty (5,OTHER
UPGRADE                  ,Spare Parts,upgrade CTs for PDU,OTHER
UPGRADE                  ,Spare Parts,PCB32109 x 2  97-1,OTHER
UPGRADE                  ,Spare Parts,PDU breaker upgrade,OTHER
UPGRADE                  ,Upgrade,2 Panel Wall Mount ,OTHER
UPGRADE                  ,Upgrade,"(1) Square D, S163A",OTHER
UPGRADE                  ,Upgrade,(17) 3 Panel Split ,OTHER
UPGRADE                  ,Upgrade,On Top Of Box Jcomm,OTHER
UPGRADE                  ,Upgrade,4 Panel Liebert Top,OTHER
UPGRADE                  ,Upgrade,(2) 2-Panel Split C,OTHER
UPGRADE                  ,Upgrade,Time to install Gri,OTHER
UPGRADE                  ,Upgrade,(1) Jcomm (3) 84 c,OTHER
UPGRADE                  ,Upgrade,JC0H2PMK           ,OTHER
UPGRADE                  ,Upgrade,1-PCB32109 – Breake,OTHER
UPGRADE                  ,Upgrade,JCOMM Sub Feed Moni,OTHER
UPGRADE                  ,Upgrade,Qty. 5040 - XMR1244,OTHER
UPGRADE                  ,Upgrade,3 Panel Liebert Top,OTHER
UPGRADE                  ,Upgrade,3 Panel Wall Mount ,OTHER
UPGRADE                  ,Upgrade,(1) 1 panel split c,OTHER
UPGRADE                  ,Upgrade,Upgrade 500 kVa PDU,OTHER
UPGRADE                  ,Upgrade,JCOMM Top Mounted W,OTHER
UPGRADE                  ,Upgrade,XMR08246 CTs,OTHER
UPGRADE Service          ,PDU - other,PDU Change Order on,OTHER
UPGRADE Service          ,Upgrade,Upgrade existing PD,OTHER
UPGRADE Service          ,Upgrade,upgrade 3 PDUs   ,OTHER
UPGRADE Service          ,Upgrade,Breaker upgrade    ,OTHER
UPGRADE Service          ,Upgrade,Subfeed Monitoring ,OTHER
UPGRADE Service          ,Upgrade,ASH Trident -- PDI ,OTHER
UPGRADE Service          ,Upgrade,upgrade 3 PDUs  u,OTHER
UPGRADE Service          ,Upgrade,Units need to be up,OTHER
UPGRADE Service          ,Upgrade,transformer change ,OTHER
UPGRADE Service          ,Upgrade,(8) PCB10897 with m,OTHER
UPGRADE Service          ,Upgrade,Upgrade STS from 40,OTHER
UPGRADE Service          ,Upgrade,Upgrade 180-1922 ,OTHER
UPGRADE Service          ,Upgrade,Grid Connect upgrad,OTHER
UPS Industiral Relay Card,OTHER,Catalog # E10300305,OTHER
UPS System               ,OTHER,Eaton 1000kVA UPS p,OTHER
VAR09821                 ,OTHER,"PEARL WH PAINT, 12 ",OTHER
VAR10582                 ,OTHER,"CARBIDE BK PAINT,12",OTHER
Warranty - RPP           ,OTHER,Qty. 2 PCB10853,OTHER
Warranty - RPP           ,OTHER,(3) DOR19367-WH (3,OTHER
Warranty - RPP           ,OTHER,7 inch mini-hubs fo,OTHER
Warranty - RPP           ,OTHER,(2) PCB08728  180,OTHER
Warranty - RPP           ,OTHER,CBL14214-10        ,OTHER
Warranty - RPP           ,OTHER,PNL13928           ,OTHER
Warranty - RPP           ,OTHER,Qty. 38 - PNL11293 ,OTHER
Warranty - RPP           ,OTHER,(112)  LUG-AU-250 ,OTHER
Warranty - RPP           ,OTHER,(3) FUS20003  ,OTHER
Warranty - RPP           ,OTHER,(31) BCB12554  18,OTHER
Warranty - RPP           ,OTHER,(3) MIS17575,OTHER
Warranty - RPP           ,OTHER,PCB12488           ,OTHER
Warranty - RPP           ,OTHER,(2)  PCB11734      ,OTHER
Warranty - RPP           ,OTHER,Qty. 1 - PCB10853  ,OTHER
Warranty - RPP           ,OTHER,(1) MIS12509  ,OTHER
Warranty - RPP           ,OTHER,(30) BCB12554  SQ-D,OTHER
Warranty - RPP           ,OTHER,Qty. 2 - CT Termina,OTHER
Warranty - RPP           ,OTHER,(1) XMRC0001  180,OTHER
Warranty - SBR           ,OTHER,(1) CKB13946 411-0,OTHER
Warranty - SBR           ,OTHER,(12) MOD16016,OTHER
Warranty - SBR           ,OTHER,(12) MOD16016  ,OTHER
Warranty - SBR           ,OTHER,(1) MOD16134 seria,OTHER
Warranty - SBR           ,OTHER,(1) CKB13945  411,OTHER
Warranty - SBR           ,OTHER,(1) MOD16134 for s,OTHER
Warranty - SBR           ,OTHER,(1) PCB13243 (5) F,OTHER
Warranty - SBR           ,OTHER,(1) PCB09411  411,OTHER
Warranty - SBR           ,OTHER,(1) PCB11639 (1) P,OTHER
Warranty - SBR           ,OTHER,(1) MOD16134 (1) P,OTHER
Warranty - SBR           ,OTHER,(60) LAB09388 (60),OTHER
Warranty - SBR           ,OTHER,(1) MOD16134 411-0,OTHER
Warranty - Std PDU       ,OTHER,CKB09783           ,OTHER
Warranty - Std PDU       ,OTHER,Rework PDU on RMA 5,OTHER
Warranty - Std PDU       ,OTHER,04 -89080    1/0AWG,OTHER
Warranty - Std PDU       ,OTHER,WRE-018-TFFN-BKx 13,OTHER
Warranty - Std PDU       ,OTHER,WRE-018-TFFN-BKx 15,OTHER
Warranty - Std PDU       ,OTHER,(1) PCB11734  13 se,OTHER
Warranty - Std PDU       ,OTHER,"Qty	Part number			 ",OTHER
Warranty - Std PDU       ,OTHER,Rework RMA 5574    ,OTHER
Warranty - Std PDU       ,OTHER,(1) PCB15632C  (1,OTHER
Warranty - Std PDU       ,OTHER,Rework / repair PDU,OTHER
Warranty - Std PDU       ,OTHER,PCB15632C,OTHER
Warranty - Std PDU       ,OTHER,PNL11293         ,OTHER
Warranty - Std PDU       ,OTHER,PNL13928,OTHER
Warranty - Std PDU       ,OTHER,"XMR12442	 ",OTHER
Warranty - Std PDU       ,OTHER,(2) PCB11734  (1),OTHER
Warranty - Std PDU       ,OTHER,Warranty - Standard,OTHER
Warranty - TOB           ,OTHER,Rework of TLPN 1340,OTHER
Warranty - TOB           ,OTHER,case 20694 - repair,OTHER
Warranty - TOB           ,OTHER,9/28/20 - loadbanks,OTHER
Warranty - TOB           ,OTHER,Rework of 1 TOB    ,OTHER
Warranty - TOB           ,OTHER,Rework of RMA 5413 ,OTHER
Warranty - TOB           ,OTHER,REWORK OF RMA 5466 ,OTHER
Warranty - TOB           ,OTHER,Rework TOB from RMA,OTHER
Warranty - TOB           ,OTHER,Rework  of 3 boxes ,OTHER
Warranty - TOB           ,OTHER,Rework of RMA 5991 ,OTHER
Warranty - TOB           ,OTHER,Rework of RMA 5589 ,OTHER
Warranty - TOB           ,OTHER,One has a broken pl,OTHER
Warranty - TOB           ,OTHER,Rework RMA 5628   ,OTHER
Warranty - TOB           ,OTHER,Rework RMA 5598   ,OTHER
Warranty - TOB           ,OTHER,Rework of RMA 5438 ,OTHER
Warranty - TOB           ,OTHER,repair loadbank on ,OTHER
Warranty - TOB           ,OTHER,Rework of TOB A51-1,OTHER
Warranty - TOB           ,OTHER,repair 5 loadbanks ,OTHER
Warranty - TOB           ,OTHER,Rework of qty 5 TLP,OTHER
Warranty - TOB           ,OTHER,Rework of RMA 5703 ,OTHER
Warranty - TOB           ,OTHER,(1) #2AWG tap box g,OTHER
Warranty - TOB           ,OTHER,Rework of 1 TOB   ,OTHER
Warranty - TOB           ,OTHER,9.29.20 - Rework of,OTHER
Witness Testing          ,OTHER,Factory Witness Tes,OTHER
WRE-018-TFFN-OR          ,OTHER,#18 TFFN ORANGE WIR,OTHER
WRE-018-TFFN-WT          ,OTHER,#18 TFFN WHITE WIRE,OTHER
XMR04189                 ,Spare Parts,"600V,600:1,RT:1.33,",OTHER
XMR0430                  ,OTHER,"CT,400:5,1.56"",0.3%",OTHER
XMR08001                 ,OTHER,"3500V,75A(MAX),CR-M",OTHER
XMR10048                 ,OTHER,"600V,400:5,CROMPTON",OTHER
XMR10048                 ,Spare Parts,"400:5 DONUT CT, ID ",OTHER
XMR57280                 ,OTHER,"1600:5,RT:1.33,SQD,",OTHER
XMR57777                 ,Upgrade,"600V,100:5,FOOTMTG,",OTHER
XMR57779                 ,Spare Parts,"600V,100:5,RT:1.33,",OTHER
XMR57783                 ,OTHER,"CT,400:5,2.50HOLE"" ",OTHER
XMR57785                 ,OTHER,"600V,600:5,GE,30VA ",OTHER
XMR57785                 ,Spare Parts,"600V,600:5,GE,30VA,",OTHER
XMR66133                 ,OTHER,"250:1,SPLIT CORE,1.",OTHER
11000058,PDU,11000WH00F9ED5CD/2I,PDU
11300004,PDU,PH2 500KVA 3 OUTPUT,PDU
11300017,PDU,PH2 500KVA 3 OUTPUT,PDU
11300028,PDU,PH2 500KVA 480D 3-O,PDU
11300028,Powerhub Low Voltage,PH2 500KVA 480D 3-O,PDU
11300029,Powerhub Low Voltage,PH2 500KVA 480D 3-O,PDU
11300031,Powerhub Low Voltage,PH2 500KVA 575V 3 O,PDU
11300040,Powerhub Low Voltage,PH2 500KVA 480D 3-O,PDU
11300054,PDU,PH2-0500-7D-80025DF,PDU
11300054,Powerhub Low Voltage,PH2 500KVA 575D 1X7,PDU
11300064,PDU,PH2 400KVA 1X600A 6,PDU
11300070,Powerhub Low Voltage,PH2 600KVA 1X1000A ,PDU
11300079,Powerhub Low Voltage,PH2-0500-6E-80065DF,PDU
11300097,PDU,PH2 400KVA 6 SUBFEE,PDU
11300099,PDU,"500kVA,1X800,8X400,",PDU
11300107,PDU,PH2-0500-6A-80035DF,PDU
11300123,PDU,PH2-600            ,PDU
11300130,PDU,PH2-500            ,PDU
11300136,PDU,PH2-0500-6D-80065DF,PDU
11300137,PDU,PH2-0500-6E-80065DF,PDU
11300142,PDU,PH2-0500-6A-80065DF,PDU
11300143,PDU,PH2-0500-65-80065DF,PDU
11300150,PDU,PH2-0500-7A-80050DF,PDU
11300160,PDU,PH2-0500-7B-80050DF,PDU
11700022,PRIMARY RPS,MDP-0400-84-50018DF,PDU
11800002,PDU,11800WH00K9ED5SD/6J,PDU
11800011,PDU,PS1-0500-6A-80065DF,PDU
11800013,PDU,PS1-0400-6A-70065DF,PDU
11800015,PDU,PS1-0500-65-80065DF,PDU
11800018,PDU,PS1-0500-65-80065DF,PDU
11800020,PDU,P2X-0500-6B-80065DF,PDU
11800024,PDU,P2X-0500-6A-80065DF,PDU
11800029,PDU,PS-0400-6B-80065DF8,PDU
11800032,PDU,P2X-0300-7B-40050DF,PDU
98-90596-01              ,PDU,PDU 500KVA 1X700A 8,PDU
98-90596-02              ,PDU,PDU 300KVA 1X500A 6,PDU
PowerPak 2               ,PDU - other,300kVA PowerPak2 PD,PDU
PowerPak 2               ,PDU - other,PP2-12-WSC-300-E-64,PDU
PowerPak Freestanding RPP,RPP - other,225 Amp Freestandin,PDU
PowerPak STANDARD PDU    ,PDU - other,300 kVA PowerPak PD,PDU
MIS09304                 ,PDU - other,"STND,FLR,32-40,PDU-",OTHER
MOD66122-WH04            ,PDU - other,"KIT,PH2,500KVA,SOLI",OTHER
MOD66122-WH04            ,PDU - other,"226.0KIT,PH2,500KVA",OTHER
MOD68442                 ,PDU - other,"KIT,UPGRADE,COLOVOR",OTHER
MOD69661-WH00            ,PDU - other,"KIT,BOTTOM,SKIRT,CO",OTHER
MOD70101-H36             ,PDU - other,PH2 60W X 40D      ,OTHER
MOD70101-H36             ,PDU - other,PH2 60W X 40D     ,OTHER
MOD70101-H48             ,PDU - other,PH2 60W X 40D      ,OTHER
MOD70103-H36             ,PDU - other,PP2 54W X 40D      ,OTHER
MOD70103-H48             ,PDU - other,PP2 54W X 40D      ,OTHER
MOD71041-WH00            ,PDU - other,"KIT,SKIRT,54X40,SLO",OTHER
MOD71042-WH00            ,PDU - other,"KIT,SKIRT,24X40,SLO",OTHER
MOD66574                 ,Powerhub Low Voltage,MOD QTS WAVESTAR OP,OTHER
MOD70104-H40             ,Primary RPS - other,PP2 42W X 40D      ,OTHER
MOD71309-WH00            ,Primary RPS - other,"KIT,BOTTOM,SKIRT,SO",OTHER
12200007,RPP,RMC-225L-4-65DF0-8T,RPP
12200011,RPP,RMC-4000-4-0000-0-M,RPP
12200011,RPP,RMC-1-MSL-400NA0000,RPP
12217004,RPP,225A MODULAR COMPAC,RPP
12217007,RPP,RMC-400L-6-0000-0-M,RPP
12217007,RPP,MCRPP 400A (1)84P P,RPP
MCRPP-084002-25227       ,RPP - other,MCRPP-0-1X400A42PPB,RPP
Branch Circuit Breaker   ,RPP - other,Qty (1220) EGB34030,OTHER
Branch Circuit Breaker   ,RPP - other,1 Lot of Branch Cir,OTHER
Branch Circuit Breaker   ,RPP - other,One Lot Branch Circ,OTHER
Branch Circuit Breaker   ,RPP - other,1 Lot Branch Circui,OTHER
PCB17734                 ,RPP - other,"BCMS,42 CIRCUIT,100",OTHER
PCB17735                 ,RPP - other,"BCMS,42 CIRCUIT,100",OTHER
MOD000151-WH00           ,SBR FRONT - other,"KIT, BOTT SKIRT 50""",OTHER
MOD20905                 ,SBR FRONT - other,"FLOOR SKIRTS,600AMP",OTHER
MOD69434                 ,SBR FRONT - other,"LUG KIT,600A STS,LE",OTHER
MOD70108-H36             ,SBR FRONT - other,LEGACY STS 34.75W X,OTHER
13404610,Spare Parts,V722SG-JG-E1016-225,OTHER
44000001,Spare Parts,"JCOM,NO DSP,1BCMS,M",OTHER
44000002,Spare Parts,"JCOM,NO DSP,2BCMS,M",OTHER
44000006,Spare Parts,"BCMS-D,1 PB,SPLIT C",OTHER
44000008,Spare Parts,"BCMS-D,2 PB,SPLIT C",OTHER
44000010,Spare Parts,"BCMS-D,3 PB,SPLIT C",OTHER
44000012,Spare Parts,"MAIN/SUBFEED CT, BC",OTHER
MIS58995                 ,Spare Parts,"EPO PLUG,LOCKING,PS",OTHER
MOD09476                 ,Spare Parts,WAVESTAR SPARE PART,OTHER
MOD16134                 ,Spare Parts,"WS,10 INCH SCREEN A",OTHER
MOD18389                 ,Spare Parts,"KIT,LUG(3),2/0-500,",OTHER
MOD66122-WH04            ,Spare Parts,"226.0KIT,PH2,500KVA",OTHER
MOD67155                 ,Spare Parts,"QTS 400A, MOD KIT 4",OTHER
MOD70101-H24             ,Spare Parts,PH2 60W X 40D      ,OTHER
PCA16209                 ,Spare Parts,"WAVESTR TOUCH SCRN,",OTHER
PCB04587                 ,Spare Parts,NINE INPUT VOLTAGE ,OTHER
PCB08028                 ,Spare Parts,DC GATE DRIVER     ,OTHER
PCB08383                 ,Spare Parts,WAVESTR TRI REDUNDA,OTHER
PCB08553                 ,Spare Parts,"DCPS-OUT,TOP,PCB   ",OTHER
PCB08555                 ,Spare Parts,"DCPS-S1/S2,TOP,PCB ",OTHER
PCB10897                 ,Spare Parts,"BCMS PLUS,PCB      ",OTHER
PCB11639                 ,Spare Parts,DUAL PULSE GATE DRI,OTHER
PCB13243                 ,Spare Parts,DCPS 600V OUTP - 40,OTHER
PCB32109                 ,Spare Parts,"PCA,BREAKER I/O, GP",OTHER
PCB57702                 ,Spare Parts,"ASIM BOARD,COMPLETE",OTHER
PCB58984                 ,Spare Parts,LINKED LOGIC 2000  ,OTHER
14000002,SBR FRONT,"STS,WS,STD,1S,408,1",SWITCH
14000025,SBR FRONT,"STS,2S,480V,250A,65",SWITCH
14000028,SBR FRONT,"STS,2ST,480V,250A,6",SWITCH
14000036,SBR FRONT,"STS,2S,480,600,65K,",SWITCH
14000038,SBR FRONT,"STS,2S,480,600,65K,",SWITCH
14000042,SBR FRONT,"STS,2S,575V,600,65,",SWITCH
14017036,SBR FRONT,"STS,1S,480V,800A,65",SWITCH
14017080,SBR FRONT,"STS,WS,STD,2,575,60",SWITCH
14017300,SBR FRONT,"STS,2S,480V,600A,65",SWITCH
14200001,"STS SECONDARY	SYSTEM","SSS,WS,STD,2S,480V,",SWITCH
14400006,SBR FRONT,"SST,2S,480V,600A,65",SWITCH
14400016,SBR FRONT,"SST,2S,480V,800A,65",SWITCH
14400051,SBR FRONT,"SST,2S,480V,600A,65",SWITCH
14417001,SBR FRONT,"SST,2S,480V,600A,65",SWITCH
WaveStar SBR             ,SBR FRONT - other,STS-WS-STD-2-575-40,SWITCH
WaveStar SBR             ,SBR FRONT - other,600 Amp 3-Pole Wave,SWITCH
WaveStar SBR             ,SBR FRONT - other,STS-WS-STD-2-480-40,SWITCH
WaveStar SBR             ,SBR FRONT - other,"STS-WS	-STD-2-575-6",SWITCH
WaveStar SBR             ,SBR FRONT - other,600 Amp Rated 3-Pol,SWITCH
WaveStar SBR             ,SBR FRONT - other,"STS	-WS-STD-2-575-4",SWITCH
8-109-050077-00          ,LV THREE COPPER,"XFMR,500KVA,575D/48",Transformer
8-109-050077-00          ,OTHER,"XFMR,500KVA,575D/48",Transformer
C6K1-110074-00           ,OTHER MAGNETICS,"TA,1100kVA575/480Y,",Transformer
C6K1-150074-01           ,OTHER MAGNETICS,ASSY1500KVA415Y-480,Transformer
MIS12509                 ,Upgrade,GRID CONNECT RS485 ,OTHER
MOD0161                  ,Upgrade,EATON 1000 ETHERNET,OTHER
MOD67155                 ,Upgrade,"QTS 400A, MOD KIT 4",OTHER
NF400FTL                 ,Upgrade,"NF Panelboard accy,",OTHER
PCB09268                 ,Upgrade,"MICROCTRL,ADD-ON,FO",OTHER
PNB57022                 ,Upgrade,"480VAC,400A,42SP,SQ",OTHER
