Part_Number,Product,Description,Type
9395-1100-1100-CW        ,Spare Parts,labor for UPS commi,OTHER
9395-1100-1100-CW        ,Spare Parts,EH384BAA04  - 5x ,OTHER
97-120056-00             ,OTHER,"POST, HORIZONTAL, F",OTHER
97-150246-02             ,OTHER,"WELD, PANEL, REAR T",OTHER
97-150247-02             ,OTHER,"WELD, PANEL, REAR B",OTHER
97-150247-XX             ,OTHER,"WELD, PANEL, REAR B",OTHER
97-180054-00             ,OTHER,"INSULATION, INPUT C",OTHER
97-190330-BK01           ,MISC STEEL PARTS,"FLRSTD,60""W X 42""D ",OTHER
97-190330-BK01           ,OTHER,"FLRSTD,60""W X 42""D ",OTHER
97-190334-01             ,OTHER,MTG PLATE ASSY     ,OTHER
97-190334-XX             ,OTHER,MTG PLATE ASSY     ,OTHER
97-190522-02             ,MISC STEEL PARTS,"FLRSTD, 60""W X 42""D",OTHER
97-190522-02             ,Powerhub Low Voltage,"FLRSTD, 60""W X 42""D",OTHER
97-190527-XX             ,MISC STEEL PARTS,"FLRSTD, 60""W X 42""D",OTHER
97-190675-XX             ,OTHER,"FLRSTD, COVER PLATE",OTHER
97-WSTARPDU-702          ,OTHER,POWER SUPPLY 120WAT,OTHER
984-00020-05             ,OTHER,CT 800:5 SQD#3090SC,OTHER
98-90596-413             ,PDU,SKIRT ASSY         ,OTHER
98-90596-414             ,PDU,500 KVA SKIRT ASSY ,OTHER
98-90596-900             ,MISC STEEL PARTS,FLOOR STAND ASSY 48,OTHER
98-90596-950             ,MISC STEEL PARTS,FLOOR STAND ASSY 48,OTHER
98-90596-975             ,MISC STEEL PARTS,FLOOR STAND ASSY 36,OTHER
98-90596-975             ,PDU,FLOOR STAND ASSY 36,OTHER
98-90596-975             ,Powerhub Low Voltage - other,FLOOR STAND ASSY 36,OTHER
ALLOTMENT OF CABLES      ,Spare Parts, (1) 32' L520R 10a,OTHER
BAT09260                 ,OTHER,"Lithium,3V,2/3AG   ",OTHER
Battery                  ,OTHER,Catalog # NSB12-730,OTHER
Battery Cabinet          ,OTHER,Catalog # EFC52AA40,OTHER
BCB06439                 ,Spare Parts,"1P,20A,22k/120V,SQD",OTHER
BCB06440                 ,Spare Parts,"2P,20A,22k/240V,SQD",OTHER
BCB06440                 ,Spare Parts,"SQ-D, 2P, 20A, 22KA",OTHER
BCB06441                 ,OTHER,"2P,30A,22k/240V,SQD",OTHER
BCB06441                 ,Spare Parts,"2P,30A,22k/240V,SQD",OTHER
BCB06441                 ,Spare Parts,"SQ-D, 2P, 30A, 22KA",OTHER
BCB06442                 ,OTHER,"3P,30A,22k/240V,SQD",OTHER
BCB06442                 ,Spare Parts,"3P,30A,22k/240V,SQD",OTHER
BCB06442                 ,Spare Parts,"SQ-D, 3P, 30A, 22KA",OTHER
BCB06443                 ,Spare Parts,"3P,50A,22k/240V,SQD",OTHER
BCB06444                 ,OTHER,"3P,60A,22k/240V,SQD",OTHER
BCB06444                 ,Spare Parts,"3P,60A,22k/240V,SQD",OTHER
BCB06444                 ,Spare Parts,"SQ-D, 3P, 60A, 22KA",OTHER
BCB06509                 ,Spare Parts,"1P,30A,22k/120V,SQD",OTHER
BCB06509                 ,Spare Parts,"SQ-D, 1P, 30A, 22KA",OTHER
